500.70 506.42
506.30 509.23
509.23 508.49
508.49 514.71
514.76 520.12
520.09 525.55
525.55 519.19
519.19 523.65
523.65 532.51
532.51 527.94
527.94 539.83
539.83 549.71
549.71 544.75
544.75 556.37
556.37 559.89
560.34 553.62
553.62 562.93
562.93 558.94
558.94 555.11
555.11 559.21
559.21 560.10
560.10 563.84
563.86 572.68
572.68 583.35
583.35 581.73
581.73 584.41
584.41 582.49
582.49 584.50
584.50 587.46
587.46 579.70
579.70 590.57
590.57 592.72
592.72 600.07
600.07 599.97
599.97 606.98
606.98 617.48
617.48 616.34
616.34 611.95
611.96 615.93
615.93 616.71
616.71 601.81
601.81 611.83
611.83 621.62
621.62 635.84
635.84 656.37
656.37 647.98
647.98 659.08
659.08 644.37
644.37 633.50
633.50 641.43
641.43 650.62
650.62 645.50
645.50 655.86
655.86 636.71
636.71 645.07
645.07 653.46
653.46 641.63
641.63 652.09
652.09 668.91
668.91 678.51
678.51 669.12
669.12 673.31
673.31 665.85
665.85 666.84
666.84 670.63
670.63 657.44
657.44 646.19
646.19 638.73
638.73 635.90
635.90 662.49
662.49 662.10
662.10 665.21
665.21 667.03
667.03 651.99
651.99 655.68
655.68 680.54
680.54 687.03
687.03 686.19
686.19 701.46
701.46 700.66
700.66 710.82
710.82 700.92
700.92 703.77
703.77 730.82
730.82 737.62
737.62 748.73
748.73 757.02
757.02 739.60
739.60 728.64
728.64 748.87
748.87 756.79
756.79 748.03
748.03 759.50
759.50 776.17
776.17 770.52
770.52 786.16
786.16 789.56
789.56 808.48
808.48 801.77
801.77 790.82
790.82 804.97
804.97 793.17
793.17 784.10
784.10 773.88
773.88 757.90
757.90 737.65
737.65 766.34
766.34 765.37
765.37 812.97
812.97 824.78
824.78 829.75
829.75 847.03
847.03 848.28
848.28 858.01
858.01 893.27
893.27 898.70
898.70 887.30
887.30 916.92
916.92 916.68
916.68 915.30
915.30 938.79
938.79 947.14
947.14 933.54
933.54 900.81
900.81 923.54
923.55 899.47
899.47 929.05
929.05 923.91
923.91 950.51
950.51 945.22
945.22 965.03
965.03 966.98
966.98 944.16
944.16 941.64
941.64 914.62
914.62 927.51
927.51 928.35
928.35 963.09
963.09 955.40
955.40 983.79
983.79 953.39
953.39 946.78
946.78 936.46
936.46 975.04
975.04 927.69
927.69 961.51
961.51 957.59
957.59 980.28
980.28 1012.46
1012.46 1020.09
1020.09 1034.21
1034.21 1049.34
1049.34 1055.69
1055.69 1068.61
1068.61 1099.16
1099.16 1095.44
1095.44 1122.70
1122.70 1110.67
1110.67 1122.72
1122.72 1107.90
1107.90 1121.00
1121.00 1108.14
1108.14 1108.73
1108.73 1110.47
1110.47 1090.82
1090.82 1113.86
